geo_borough,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share
Miami Beach,condo_unit,partnership,168,168,43184,43184,0.003890329751759911,0.003890329751759911
Miami Springs,condo_unit,llc,85,85,334,334,0.25449101796407186,0.25449101796407186
Sweetwater,sfr_1_4,individual,1343,1695,1629,2194,0.8244321669736034,0.7725615314494074
South Miami,sfr_1_4,estate,17,17,2907,2994,0.005847953216374269,0.0056780227120908485
Unincorporated County,sfr_1_4,unknown,11449,11776,251643,261828,0.04549699375702881,0.04497609117435874
Miami,sfr_1_4,unknown,1604,2146,48140,66110,0.03331948483589531,0.03246104976554228
Pinecrest,condo_unit,corp,12,12,759,759,0.015810276679841896,0.015810276679841896
Hialeah,small_mf,partnership,4,36,576,5209,0.006944444444444444,0.006911115377231714
Sunny Isles Beach,large_mf,corp,1,224,8,2157,0.125,0.10384793694946685
Aventura,large_mf,llc,3,761,5,1140,0.6,0.6675438596491228
Opa-locka,large_mf,llc,17,1010,32,2248,0.53125,0.44928825622775803
Pinecrest,large_mf,llc,2,204,4,406,0.5,0.5024630541871922
Coral Gables,sfr_1_4,corp,146,209,11245,12169,0.01298354824366385,0.01717478839674583
Doral,sfr_1_4,llc,1396,1415,12082,12209,0.1155437841416984,0.11589810795314931
North Bay Village,large_mf,llc,7,738,11,871,0.6363636363636364,0.8473019517795637
Doral,sfr_1_4,trust,18,18,12082,12209,0.0014898195662969708,0.0014743222213121467
Pinecrest,large_mf,individual,1,160,4,406,0.25,0.39408866995073893
Homestead,large_mf,unknown,1,80,45,3526,0.022222222222222223,0.022688598979013045
Coral Gables,small_mf,unknown,2,17,166,1658,0.012048192771084338,0.010253317249698432
Pinecrest,sfr_1_4,llc,377,414,5273,5431,0.07149630191541817,0.07622905542257412
Miami Beach,condo_unit,corp,2707,2707,43184,43184,0.06268525379770286,0.06268525379770286
Coral Gables,large_mf,individual,2,45,37,2520,0.05405405405405406,0.017857142857142856
Sweetwater,sfr_1_4,corp,22,54,1629,2194,0.013505217925107428,0.024612579762989972
Coral Gables,condo_unit,estate,8,8,5289,5289,0.0015125732652675364,0.0015125732652675364
Sweetwater,small_mf,unknown,4,38,29,277,0.13793103448275862,0.1371841155234657
Sweetwater,condo_unit,trust,3,3,1558,1558,0.0019255455712451862,0.0019255455712451862
Bal Harbour,coop_building,lender_reo,1,1,188,188,0.005319148936170213,0.005319148936170213
Miami Gardens,condo_unit,partnership,2,2,2592,2592,0.0007716049382716049,0.0007716049382716049
Unincorporated County,condo_unit,llc,13973,13973,84322,84322,0.16571001636583574,0.16571001636583574
Virginia Gardens,small_mf,individual,3,44,5,73,0.6,0.6027397260273972
North Miami Beach,sfr_1_4,estate,46,47,7288,7972,0.006311745334796927,0.005895634721525339
Bay Harbor Islands,large_mf,llc,6,137,9,200,0.6666666666666666,0.685
Homestead,sfr_1_4,corp,308,373,16905,17770,0.018219461697722567,0.020990433314575126
Biscayne Park,sfr_1_4,llc,122,164,1043,1249,0.11697027804410355,0.1313050440352282
Cutler Bay,large_mf,llc,2,137,7,907,0.2857142857142857,0.15104740904079383
Miami,sfr_1_4,individual,37423,48283,48140,66110,0.7773784794349813,0.7303433671154137
Miami Gardens,condo_unit,lender_reo,4,4,2592,2592,0.0015432098765432098,0.0015432098765432098
Miami Springs,large_mf,llc,8,261,22,840,0.36363636363636365,0.3107142857142857
Miami,coop_building,trust,1,1,565,565,0.0017699115044247787,0.0017699115044247787
Homestead,small_mf,llc,57,550,112,1067,0.5089285714285714,0.5154639175257731
El Portal,sfr_1_4,unknown,17,19,736,788,0.02309782608695652,0.024111675126903553
Indian Creek,sfr_1_4,corp,5,5,29,30,0.1724137931034483,0.16666666666666666
Bal Harbour,condo_unit,estate,3,3,3011,3011,0.0009963467286615742,0.0009963467286615742
Palmetto Bay,condo_unit,corp,13,13,668,668,0.019461077844311378,0.019461077844311378
Bal Harbour,small_mf,corp,2,28,2,28,1.0,1.0
Sweetwater,sfr_1_4,trust,5,10,1629,2194,0.003069367710251688,0.004557885141294439
Unincorporated County,large_mf,corp,109,10743,434,63166,0.2511520737327189,0.1700756736218852
Miami Lakes,condo_unit,llc,188,188,1748,1748,0.10755148741418764,0.10755148741418764
Miami Lakes,condo_unit,estate,4,4,1748,1748,0.002288329519450801,0.002288329519450801
Unincorporated County,sfr_1_4,estate,1280,1323,251643,261828,0.005086571055026367,0.00505293551491819
Bay Harbor Islands,condo_unit,unknown,44,44,2289,2289,0.019222367846221056,0.019222367846221056
Miami Lakes,sfr_1_4,individual,6767,6783,7475,7497,0.9052842809364549,0.9047619047619048
Opa-locka,sfr_1_4,lender_reo,1,1,2632,3072,0.00037993920972644377,0.0003255208333333333
North Bay Village,condo_unit,partnership,5,5,3031,3031,0.001649620587264929,0.001649620587264929
Bay Harbor Islands,coop_building,coop_corp,105,105,108,108,0.9722222222222222,0.9722222222222222
Surfside,sfr_1_4,estate,1,1,1105,1131,0.0009049773755656109,0.0008841732979664014
Hialeah Gardens,large_mf,individual,1,26,14,962,0.07142857142857142,0.02702702702702703
Bal Harbour,sfr_1_4,llc,31,32,172,179,0.18023255813953487,0.1787709497206704
Homestead,small_mf,partnership,10,124,112,1067,0.08928571428571429,0.1162136832239925
Surfside,large_mf,unknown,1,20,2,51,0.5,0.39215686274509803
Sweetwater,condo_unit,corp,68,68,1558,1558,0.043645699614890884,0.043645699614890884
Homestead,large_mf,individual,2,68,45,3526,0.044444444444444446,0.019285309132161088
North Bay Village,large_mf,corp,1,44,11,871,0.09090909090909091,0.0505166475315729
West Miami,condo_unit,individual,54,54,83,83,0.6506024096385542,0.6506024096385542
North Miami Beach,condo_unit,trust,26,26,5678,5678,0.004579077139837971,0.004579077139837971
Miami Shores,sfr_1_4,individual,2808,2868,3184,3277,0.8819095477386935,0.8751907232224596
North Bay Village,small_mf,corp,1,19,7,70,0.14285714285714285,0.2714285714285714
Unincorporated County,small_mf,individual,50,389,210,1916,0.23809523809523808,0.20302713987473903
Miami Gardens,sfr_1_4,estate,301,302,26357,26682,0.011420116098190235,0.011318491867176374
Unincorporated County,condo_unit,individual,63863,63863,84322,84322,0.7573705557268565,0.7573705557268565
Bay Harbor Islands,condo_unit,trust,14,14,2289,2289,0.0061162079510703364,0.0061162079510703364
Aventura,sfr_1_4,trust,8,8,892,905,0.008968609865470852,0.008839779005524863
Palmetto Bay,large_mf,llc,6,894,7,1068,0.8571428571428571,0.8370786516853933
