geo_neighborhood,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share,suppressed
19118,large_mf,llc,1,100,8,702,0.125,0.14245014245014245,false
19134,sfr_1_4,lender_reo,40,40,20821,21515,0.0019211373132894673,0.0018591680223100163,false
19139,sfr_1_4,individual,10489,11672,13362,15114,0.7849872773536896,0.7722641259759163,false
19119,mixed_use_res,individual,68,68,141,141,0.48226950354609927,0.48226950354609927,false
19154,sfr_1_4,partnership,5,6,10758,11186,0.0004647704034207102,0.0005363847666726265,false
19136,sfr_1_4,partnership,6,8,10243,10999,0.0005857658888997364,0.0007273388489862715,false
19111,large_mf,unknown,1,100,23,1467,0.043478260869565216,0.0681663258350375,false
19126,large_mf,llc,3,153,9,508,0.3333333333333333,0.30118110236220474,false
19152,sfr_1_4,corp,37,48,9564,10391,0.0038686741948975325,0.004619382157636416,false
19153,sfr_1_4,lender_reo,6,6,3731,3932,0.0016081479496113642,0.001525940996948118,false
19126,condo_unit,corp,15,15,78,78,0.19230769230769232,0.19230769230769232,false
19121,sfr_1_4,trust,119,139,9590,11329,0.012408759124087591,0.012269397122429164,false
19122,large_mf,partnership,6,453,15,1010,0.4,0.4485148514851485,false
19111,condo_unit,individual,179,179,196,196,0.9132653061224489,0.9132653061224489,false
19144,large_mf,partnership,11,806,45,3030,0.24444444444444444,0.266006600660066,false
19126,condo_unit,llc,48,48,78,78,0.6153846153846154,0.6153846153846154,false
19135,large_mf,partnership,1,51,3,153,0.3333333333333333,0.3333333333333333,false
19153,mixed_use_res,individual,10,10,12,12,0.8333333333333334,0.8333333333333334,false
19123,mixed_use_res,trust,8,8,290,290,0.027586206896551724,0.027586206896551724,false
19107,mixed_use_res,estate,1,1,291,291,0.003436426116838488,0.003436426116838488,false
19115,condo_unit,partnership,8,8,2005,2005,0.00399002493765586,0.00399002493765586,false
19142,mixed_use_res,trust,5,5,364,364,0.013736263736263736,0.013736263736263736,false
19152,mixed_use_res,individual,79,79,117,117,0.6752136752136753,0.6752136752136753,false
19119,sfr_1_4,unknown,34,39,8742,9147,0.0038892701898878973,0.004263693014102984,false
19111,condo_unit,trust,6,6,196,196,0.030612244897959183,0.030612244897959183,false
19114,sfr_1_4,corp,33,40,8294,9343,0.003978779840848806,0.004281280102750722,false
19137,sfr_1_4,individual,3046,3111,3257,3338,0.935216456862143,0.9319952067106052,false
19127,mixed_use_res,individual,58,58,128,128,0.453125,0.453125,false
19140,mixed_use_res,individual,512,512,698,698,0.7335243553008596,0.7335243553008596,false
19114,sfr_1_4,partnership,19,31,8294,9343,0.002290812635640222,0.00331799207963181,false
19136,small_mf,trust,1,5,41,205,0.024390243902439025,0.024390243902439025,false
19125,condo_unit,unknown,8,8,539,539,0.014842300556586271,0.014842300556586271,false
19135,small_mf,unknown,6,30,46,230,0.13043478260869565,0.13043478260869565,false
19128,condo_unit,trust,8,8,738,738,0.01084010840108401,0.01084010840108401,false
19107,small_mf,partnership,33,165,289,1445,0.11418685121107267,0.11418685121107267,false
19120,mixed_use_res,unknown,8,8,637,637,0.012558869701726845,0.012558869701726845,false
19127,sfr_1_4,individual,2088,2211,2331,2492,0.8957528957528957,0.887239165329053,false
19138,mixed_use_res,trust,2,2,207,207,0.00966183574879227,0.00966183574879227,false
19137,mixed_use_res,llc,15,15,74,74,0.20270270270270271,0.20270270270270271,false
