code,description,source
Y6,"DEPARTMENT OF SANITATION",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Y7,"DEPARTMENT OF PORTS AND TERMINALS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Y8,"DEPARTMENT OF PUBLIC WORKS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Y9,"DEPARTMENT OF ENVIRONMENTAL PROTECTION",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Z0,"TENNIS COURT, POOL, SHED, ETC.",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Z1,"COURT HOUSE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Z2,"PUBLIC PARKING AREA",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Z3,"POST OFFICE",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Z4,"FOREIGN GOVERNMENT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Z5,"UNITED NATIONS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Z7,"EASEMENT",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Z8,"CEMETERY",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
Z9,"OTHER MISCELLANEOUS",https://www.nyc.gov/assets/finance/jump/hlpbldgcode.html
