geo_neighborhood,building_type,owner_class,class_parcels,class_units,parcels,units,parcel_share,unit_share,suppressed
MN0301,small_mf,trust,1,8,47,520,0.02127659574468085,0.015384615384615385,false
BK1601,large_mf,unknown,5,184,46,2019,0.10869565217391304,0.09113422486379395,false
MN0901,large_mf,corp,1,35,37,2810,0.02702702702702703,0.012455516014234875,false
QN0103,sfr_1_4,llc,348,918,2242,5281,0.15521855486173058,0.17383071387994697,false
BK0902,sfr_1_4,corp,32,79,2728,4928,0.011730205278592375,0.016030844155844156,false
BK0301,mixed_use_res,hdfc,21,229,796,6890,0.026381909547738693,0.03323657474600871,false
BX0403,sfr_1_4,individual,321,721,416,961,0.7716346153846154,0.7502601456815817,false
BK1602,large_mf,partnership,7,385,89,4779,0.07865168539325842,0.08056078677547604,false
BX1101,mixed_use_res,partnership,2,114,152,1717,0.013157894736842105,0.06639487478159581,false
BX0502,small_mf,corp,6,57,87,856,0.06896551724137931,0.06658878504672897,false
BK1203,small_mf,unknown,1,8,84,688,0.011904761904761904,0.011627906976744186,false
MN1002,small_mf,unknown,30,400,477,5168,0.06289308176100629,0.07739938080495357,false
BK1204,other_res,individual,7,11,16,26,0.4375,0.4230769230769231,false
MN0102,other_res,llc,4,4,11,22,0.36363636363636365,0.18181818181818182,false
MN1102,large_mf,llc,47,1826,128,7687,0.3671875,0.2375439052946533,false
BX0603,small_mf,llc,134,1292,198,1974,0.6767676767676768,0.6545086119554204,false
MN0303,mixed_use_res,llc,541,8447,924,15272,0.5854978354978355,0.553103719224725,false
QN0501,other_res,trust,7,10,46,62,0.15217391304347827,0.16129032258064516,false
BK1302,coop_building,coop_corp,9,7136,9,7136,1.0,1.0,false
MN0604,condo_unit,llc,7,261,24,1674,0.2916666666666667,0.15591397849462366,false
QN1206,other_res,corp,1,2,7,8,,,true
QN1307,mixed_use_res,corp,9,12,67,81,0.13432835820895522,0.14814814814814814,false
QN0203,sfr_1_4,partnership,1,2,3914,8071,0.0002554931016862545,0.00024780076818238137,false
QN0704,other_res,corp,4,4,15,7,,,true
QN1306,mixed_use_res,corp,9,7,28,51,0.32142857142857145,0.13725490196078433,false
MN1201,large_mf,unknown,44,1545,339,12836,0.12979351032448377,0.12036459956372701,false
QN0802,small_mf,corp,6,44,17,123,0.35294117647058826,0.35772357723577236,false
QN0301,large_mf,llc,88,5044,136,7942,0.6470588235294118,0.6351045076806849,false
BX0301,sfr_1_4,hdfc,1,4,670,1550,0.0014925373134328358,0.0025806451612903226,false
QN0704,condo_unit,individual,14,479,22,591,0.6363636363636364,0.8104906937394247,false
QN1205,mixed_use_res,lender_reo,1,2,266,527,0.0037593984962406013,0.003795066413662239,false
MN1001,large_mf,partnership,11,497,138,5558,0.07971014492753623,0.08942065491183879,false
QN0805,mixed_use_res,trust,8,75,131,1288,0.061068702290076333,0.05822981366459627,false
QN0401,other_res,corp,8,12,29,40,0.27586206896551724,0.3,false
SI0204,small_mf,corp,1,6,7,60,0.14285714285714285,0.1,false
QN0901,mixed_use_res,partnership,2,226,92,1778,0.021739130434782608,0.12710911136107986,false
BK0102,condo_unit,unknown,18,290,192,3282,0.09375,0.08836075563680683,false
QN0301,small_mf,llc,60,553,122,1029,0.4918032786885246,0.5374149659863946,false
QN1304,sfr_1_4,llc,73,82,5145,5729,0.014188532555879495,0.014313143655088147,false
QN0402,other_res,lender_reo,1,2,43,78,0.023255813953488372,0.02564102564102564,false
SI0104,large_mf,hdfc,1,34,23,2203,0.043478260869565216,0.015433499773036768,false
BK1101,small_mf,partnership,1,18,358,2692,0.002793296089385475,0.006686478454680535,false
MN0703,condo_unit,individual,21,2013,35,3270,0.6,0.6155963302752293,false
SI0304,sfr_1_4,trust,1071,1494,11143,15492,0.09611415238266176,0.09643687064291247,false
QN0704,mixed_use_res,individual,114,510,323,2444,0.35294117647058826,0.20867430441898527,false
BK1303,mixed_use_res,trust,14,36,276,2217,0.050724637681159424,0.016238159675236806,false
