year,geo_borough,sales,units,entity_sales,entity_units,sale_share,unit_share
2012,River Forest,170,176,12,12,0.07058823529411765,0.06818181818181818
2012,Riverside,212,238,14,35,0.0660377358490566,0.14705882352941177
2012,Rogers Park,931,1226,128,323,0.13748657357679914,0.2634584013050571
2012,Schaumburg,1682,1725,114,153,0.06777645659928656,0.08869565217391304
2012,South Chicago,1757,2237,125,275,0.07114399544678429,0.12293249888243182
2012,Stickney,393,436,26,35,0.06615776081424936,0.08027522935779817
2012,Thornton,1766,2276,365,614,0.20668176670441676,0.2697715289982425
2012,West Chicago,4548,7553,659,1999,0.14489885664028143,0.2646630477955779
2012,Wheeling,2249,2369,133,185,0.05913739439751001,0.07809202195018995
2012,Worth,1832,2116,170,295,0.0927947598253275,0.139413988657845
2013,Barrington,267,275,11,15,0.04119850187265917,0.05454545454545454
2013,Berwyn,868,1118,196,233,0.22580645161290322,0.20840787119856888
2013,Bloom,1192,1356,283,331,0.23741610738255034,0.24410029498525074
2013,Bremen,1697,1895,388,492,0.22863877430760166,0.2596306068601583
2013,Calumet,154,276,30,125,0.19480519480519481,0.4528985507246377
2013,Cicero,830,1188,51,102,0.06144578313253012,0.08585858585858586
2013,Elk Grove,1367,1527,96,201,0.07022677395757132,0.13163064833005894
2013,Evanston,1111,1379,80,272,0.07200720072007201,0.19724437998549674
2013,Hanover,1787,1841,210,213,0.11751538891997762,0.11569799022270505
2013,Hyde Park,3165,5254,905,2187,0.2859399684044234,0.41625428245146556
2013,Jefferson,6991,9919,1075,2236,0.1537691317408096,0.2254259501965924
2013,Lake,5782,7832,1062,1793,0.1836734693877551,0.22893258426966293
2013,Lake View,5821,7260,512,1391,0.08795739563648858,0.19159779614325068
2013,Lemont,294,322,22,37,0.07482993197278912,0.11490683229813664
2013,Leyden,1365,1680,188,312,0.13772893772893774,0.18571428571428572
2013,Lyons,1752,2045,139,276,0.079337899543379,0.1349633251833741
2013,Maine,2250,2456,174,222,0.07733333333333334,0.09039087947882736
2013,New Trier,1185,1235,126,149,0.10632911392405063,0.12064777327935222
2013,Niles,1730,2022,136,198,0.07861271676300578,0.09792284866468842
2013,North Chicago,3694,4107,272,552,0.07363291824580401,0.1344046749452155
2013,Northfield,1592,1621,116,123,0.0728643216080402,0.07587908698334361
2013,Norwood Park,401,453,33,45,0.08229426433915212,0.09933774834437085
2013,Oak Park,889,1002,96,144,0.10798650168728909,0.1437125748502994
2013,Orland,1501,1539,127,146,0.08461025982678215,0.09486679662118258
2013,Palatine,2033,2240,177,313,0.08706345302508608,0.13973214285714286
2013,Palos,748,794,50,72,0.06684491978609626,0.0906801007556675
2013,Proviso,2315,2939,326,633,0.1408207343412527,0.2153793807417489
2013,Rich,1425,1442,432,442,0.3031578947368421,0.3065187239944521
2013,River Forest,245,265,14,28,0.05714285714285714,0.10566037735849057
2013,Riverside,294,334,19,30,0.06462585034013606,0.08982035928143713
2013,Rogers Park,1141,1552,143,428,0.12532865907099036,0.2757731958762887
2013,Schaumburg,2082,2105,202,216,0.09702209414024976,0.10261282660332542
2013,South Chicago,2136,2939,122,617,0.05711610486891386,0.20993535216059883
2013,Stickney,555,679,89,115,0.16036036036036036,0.16936671575846834
2013,Thornton,2261,2825,666,883,0.29455992923485186,0.31256637168141593
2013,West Chicago,5780,9803,847,2964,0.14653979238754325,0.30235642150362135
2013,Wheeling,2742,2817,236,270,0.08606856309263311,0.09584664536741214
2013,Worth,2365,2638,375,446,0.15856236786469344,0.16906747536012132
2014,Barrington,312,316,14,14,0.04487179487179487,0.04430379746835443
2014,Berwyn,760,1146,100,236,0.13157894736842105,0.20593368237347295
2014,Bloom,1148,1463,236,360,0.20557491289198607,0.24606971975393027
2014,Bremen,1653,1791,265,307,0.1603145795523291,0.17141261864879956
2014,Calumet,168,219,17,18,0.10119047619047619,0.0821917808219178
2014,Cicero,753,1133,57,133,0.07569721115537849,0.11738746690203
2014,Elk Grove,1143,1353,80,213,0.0699912510936133,0.1574279379157428
2014,Evanston,1036,1301,62,211,0.059845559845559844,0.16218293620292082
2014,Hanover,1564,1606,139,152,0.08887468030690537,0.09464508094645081
2014,Hyde Park,3192,5554,885,2330,0.27725563909774437,0.4195174648901692
2014,Jefferson,6379,9182,782,1797,0.12258974760934316,0.1957089958614681
2014,Lake,5488,7451,923,1457,0.16818513119533526,0.1955442222520467
2014,Lake View,5637,6984,507,1258,0.08994145822245875,0.18012600229095074
2014,Lemont,325,397,34,104,0.10461538461538461,0.2619647355163728
2014,Leyden,1238,1562,93,180,0.07512116316639741,0.11523687580025609
2014,Lyons,1564,1815,116,162,0.0741687979539642,0.08925619834710743
2014,Maine,2133,2426,142,213,0.06657290201593999,0.08779884583676835
2014,New Trier,1121,1190,98,132,0.08742194469223907,0.11092436974789915
2014,Niles,1689,2009,107,185,0.06335109532267615,0.09208561473369836
2014,North Chicago,3518,3918,247,496,0.0702103467879477,0.12659520163348648
2014,Northfield,1523,1585,113,128,0.07419566644780039,0.08075709779179811
2014,Norwood Park,353,391,19,40,0.053824362606232294,0.10230179028132992
2014,Oak Park,906,1072,84,163,0.09271523178807947,0.15205223880597016
2014,Orland,1439,1488,71,89,0.04933981931897151,0.05981182795698925
2014,Palatine,1836,1958,99,168,0.05392156862745098,0.08580183861082738
2014,Palos,767,814,35,50,0.04563233376792699,0.06142506142506143
2014,Proviso,2076,2607,232,408,0.11175337186897881,0.1565017261219793
2014,Rich,1233,1309,318,377,0.25790754257907544,0.2880061115355233
2014,River Forest,182,187,10,10,0.054945054945054944,0.053475935828877004
2014,Riverside,257,311,24,39,0.0933852140077821,0.12540192926045016
2014,Rogers Park,1055,1421,106,294,0.1004739336492891,0.20689655172413793
2014,Schaumburg,1975,2011,136,155,0.06886075949367089,0.07707608155146693
2014,South Chicago,2109,2767,119,400,0.056424845898530106,0.14456089627755692
2014,Stickney,526,620,56,77,0.10646387832699619,0.12419354838709677
2014,Thornton,2127,2627,452,644,0.21250587682181477,0.24514655500570995
2014,West Chicago,5545,9749,780,2927,0.1406672678088368,0.300235921632988
2014,Wheeling,2460,2695,165,317,0.06707317073170732,0.11762523191094619
2014,Worth,2303,2807,233,372,0.10117238384715588,0.13252582828642678
2015,Barrington,301,312,8,8,0.026578073089700997,0.02564102564102564
2015,Berwyn,671,981,16,26,0.02384500745156483,0.026503567787971458
